	Prognosis	A_I_phase_1	A_I_phase_2	A_R1_phase	Maintenance therapy	protein_cluster
ENSG00000105393	3.205516967	2.6837814	2.1734543	0.07090872	1.176874067	5
ENSG00000269307	5.242693567	4.962955	4.6878715	4.1810465	2.775698667	2
ENSG00000160117	0.167323267	0	0	1.7991638	0.033464713	6
ENSG00000127220	2.944224967	2.4304955	2.4293776	0.84873116	0.910509617	5
ENSG00000130312	3.823560667	2.8496757	3.6525316	0.3887234	1.551557467	5
ENSG00000130311	4.140912433	3.780404	3.8623104	1.5640038	1.945087067	5
ENSG00000074855	2.170225267	2.748255	2.966027	0	0.04376084	4
ENSG00000130299	2.3801744	2.4358046	1.8850967	0	0	5
ENSG00000130303	5.4741912	5.1253085	5.0024514	4.565087	3.391876667	2
ENSG00000282851	1.725274267	0.9212407	1.449961	0.96999043	0.652136133	2
ENSG00000141971	3.150990733	3.2401881	3.0231164	0	1.1600612	4
ENSG00000130304	2.052976833	2.718538	2.336454	0.89096075	0.5413494	4
ENSG00000130313	4.741962033	4.610825	4.2070236	1.3560268	2.674610067	5
ENSG00000167483	2.702601467	3.8277948	3.591206	3.880468	0.467876057	3
ENSG00000130309	4.655806533	4.2441144	4.2403574	3.9354558	3.424628733	2
ENSG00000130479	3.194164133	3.665494	3.544861	1.0849783	2.361330833	4
ENSG00000130475	3.9572773	4.2471795	4.51106	2.5036159	2.502801467	4
ENSG00000105639	4.860893467	6.0927773	6.115536	2.7411537	3.5806105	4
ENSG00000105640	8.385914	7.694703	7.399736	4.6041193	4.3553456	5
ENSG00000007080	4.908549467	4.372797	4.5197496	0.5384347	2.132475867	5
ENSG00000105643	3.345691133	3.1198468	3.4482749	2.0790148	1.8298483	5
ENSG00000096996	2.1225059	2.1274712	2.5781884	0.32659435	1.7015449	4
ENSG00000099308	3.043118867	3.4687903	3.4149444	4.123469	3.681936	6
ENSG00000105647	2.515129967	1.4533482	1.0751107	0.35566214	0.526880133	5
ENSG00000268173	3.311001967	2.822573	3.3388104	2.752427	2.2523652	2
ENSG00000216490	2.173552713	3.1984794	4.22138	3.7774634	5.104431	6
ENSG00000130518	1.453447067	1.5289402	1.4122046	0.711515	0.592872693	4
ENSG00000130522	7.419834933	7.2752643	7.8262568	3.5003836	4.709991467	4
ENSG00000130520	4.316125033	2.0906882	2.9501417	1.0442352	1.180600333	5
ENSG00000130517	4.109166767	3.6414406	3.883219	2.299875	1.605378533	5
ENSG00000175489	2.9517108	4.5699553	5.1838827	3.3124692	5.267344533	4
ENSG00000130511	3.807454333	4.8477373	4.517662	0.66479945	1.977717633	4
ENSG00000105655	4.091959933	4.3496337	3.2165346	0.000947	0.2832034	5
ENSG00000105656	2.555430333	2.9929595	3.8212667	2.6784105	2.9613992	4
ENSG00000105701	6.941623233	7.692462	7.199318	4.434041	5.574044	4
ENSG00000105700	3.709611967	3.0717185	3.4318588	2.1393359	1.952787	5
ENSG00000268030	1.338702717	0.23004302	1.3705891	1.009273	0.54051886	1
ENSG00000221983	6.326565367	5.052924	5.6386857	3.434302	3.9221331	5
ENSG00000006015	2.680777333	3.0458903	2.6748726	0.5003815	1.051810867	4
ENSG00000105662	2.264645833	2.8027296	2.9286668	0.31000736	0.347013733	4
ENSG00000005007	3.870331867	3.2746184	3.5377986	2.060195	2.3184336	5
ENSG00000105669	5.524468667	5.4116845	4.78109	2.931585	3.304036767	5
ENSG00000268193	4.903814433	4.6127033	4.088258	2.4926624	3.247882167	5
ENSG00000105671	4.417525633	3.9545674	3.8430583	1.9375279	1.933357667	5
ENSG00000064607	4.4537601	3.5565813	4.1334457	4.8387885	1.067917467	3
ENSG00000181035	2.912877333	4.0578494	4.022258	0.22920167	0.203019043	4
ENSG00000064489	2.119735533	2.616156	2.8203888	0.97629243	1.6168409	4
ENSG00000213999	1.667523867	2.151007	2.2166407	0.28472796	1.1209196	4
ENSG00000254901	1.740850467	1.7831119	1.8597268	1.8364421	1.821926333	6
ENSG00000064490	4.659197933	4.7363834	4.289311	1.7130861	2.465343867	5
ENSG00000184162	2.599421433	1.5102031	1.7073812	1.2477223	0.781988967	2
ENSG00000105705	3.129185833	2.784196	3.1501567	2.345147	1.713114	5
ENSG00000129933	3.070833367	3.1193976	3.185506	2.8858526	1.833319233	2
ENSG00000167491	4.8935256	3.4877143	4.309138	3.776959	3.199614767	2
ENSG00000178093	1.851571367	2.6090093	2.4848917	0	0.357425067	4
ENSG00000186010	4.8306939	4.4349017	4.494028	1.7031789	1.807005167	5
ENSG00000258674	5.764007567	5.268411	4.967445	1.9166542	2.533182067	5
ENSG00000064547	2.837710067	3.4385903	3.5863023	3.3491113	2.5599841	4
ENSG00000089639	4.598353433	5.623835	5.626313	5.5797515	4.507659433	4
ENSG00000105726	3.558333	3.2057736	3.253909	1.4539075	1.365272367	5
ENSG00000181896	3.3488959	2.6580229	3.3885653	2.5857835	1.1590423	2
ENSG00000081665	2.393719333	1.3460556	2.7432761	2.2973447	0.287072261	3
ENSG00000213988	0.413757717	0	0	0.9376484	0	7
ENSG00000267383	2.242416667	2.0231378	2.298505	3.03546	0.618529633	3
ENSG00000256229	0.822561093	0	0	0.5758059	0.3807226	1
ENSG00000160229	1.502450083	1.1456296	1.6364354	1.0041864	0.511408433	2
ENSG00000118620	1.668417433	0.5111647	2.226605	1.2513821	0.6512449	2
ENSG00000196705	1.038636867	0	0.82802266	0.7535979	0	1
ENSG00000182141	1.79459	2.0044916	1.8679334	2.8458924	0.562112067	3
ENSG00000172687	1.705993733	0.25223953	1.5051466	1.0097436	0	2
ENSG00000196268	1.637152467	0.30601966	1.583177	2.5549433	0.6502328	7
ENSG00000197013	0.374779833	0.23890135	0.098622315	1.3014601	0.990012633	6
ENSG00000197020	0.429792497	0	0	1.5042268	0	7
ENSG00000198521	2.454748467	0	0.99792093	1.9994575	0	1
ENSG00000167232	1.751727567	0	1.7479519	1.9017513	0	3
ENSG00000169021	4.862723533	2.7956276	3.7287939	4.394482	2.291429667	1
ENSG00000105171	1.922105567	0.23069862	1.3680847	1.5237719	0.677186917	1
ENSG00000131943	2.008360733	1.5234855	1.251633	0	0.8576239	5
ENSG00000278895	3.739686	2.2759802	3.7105868	5.446513	2.0233906	3
ENSG00000105176	3.015508067	0	1.299977	3.6220217	0.72292802	1
ENSG00000178904	0.4082243	0	0	2.3642814	0.49156448	6
