GeneID	SH-CON-1	SH-CON-2	SH-CON-3	SH-CON-4	SH-CON-5	SH-NAC-1	SH-NAC-2	SH-NAC-3	SH-NAC-4	SH-NAC-5	SH-H-1	SH-H-2	SH-H-3	SH-H-4	SH-H-5	SH-10-1	SH-10-2	SH-10-3	SH-10-4	SH-10-5	SH-100-1	SH-100-2	SH-100-3	SH-100-4	SH-100-5	SH-103-1	SH-103-2	SH-103-3	SH-103-4	SH-103-5
C01227	8194918	10110265	8123149	23108281	6695287	9435123	6807489	7999780	6908867	6924424	5752615	8211257	17327864	4702865	4590648	7067337	6043634	6104749	6193402	6028394	5288192	6541855	5463660	4984176	5256387	1863591	1419569	8854606	1442068	1413615
C05443	4782903	6320695	1201683	5527656	1328299	1310065	4932662	1094836	1393486	2965793	4031900	1292758	1297324	1303992	2702693	4414115	1418886	4546514	1110495	1450619	6893771	3870518	4730790	1292370	1207901	5061911	4300306	1505906	6131710	1414665
C04483	234461895	217155352	195798824	256611435	216008142	235130267	202928984	244841439	209340159	205186294	244473302	222398656	223167832	260250593	278327851	258453849	206760834	225358627	236024011	235228932	186663100	223314654	168434432	215325729	205688596	213969667	236791857	220245465	229019445	259780900
C00187	1688970	1723777	6276527	1914108	2040750	4410596	4246621	4251613	4951251	3836560	4932063	5620013	1207137	5057649	5026834	4431902	3633914	4699442	5146690	4136057	4053854	3498275	3798745	4219361	4411283	1607162	5050358	1273482	1692738	4366998
C02537	2159994	1985115	2166920	9511382	2220208	7064398	7818887	6661850	1892625	7865654	6624098	5997295	5495412	1541990	4787188	5793852	6562164	6707426	6233212	6925639	5284729	7121240	6534899	1579204	7829732	2110593	1759035	1670912	1533263	1535098
C06193	159997663	178674237	140227755	178148429	187271080	248153318	300987507	280022435	309161386	238043637	122016636	118644579	112559690	109910432	124592118	120654482	108544558	121829804	92578605	108578473	188530766	224402159	175692740	214085674	204549067	43031845	49993790	50451913	56097255	53355076
C00106	5276530055	5368591251	5116241191	4873912470	4979671448	4396088747	4209058115	4481899250	4445326582	4483659119	3688001753	3752401975	3661079571	3753302502	3748716758	4261735606	4105176218	4378052012	4354896571	4125236399	3814624588	3921979570	3735799298	3791878924	3902296453	2656243460	2773393001	2666721286	2760348171	2842175947
C00380	11415388640	11065760246	11381746580	11219156967	11347824947	7230325830	7270330912	7233824053	7004522479	7296332319	6766133798	6621081745	6651776879	7158663604	7132385147	13378800845	13315403982	12450101711	12881342369	12482001456	7296989864	7195667376	7586822469	7256723790	7167391406	8380368148	8085161856	8395818199	8253340394	8322765168
C00429	23897812	23753535	24103201	23723746	24564191	18296128	19517412	22433416	21787052	19340892	19147915	30241017	29012613	17845496	17831009	30595961	30540970	30782297	36533718	32872147	22382065	21215315	20751091	21267729	19517638	14945704	14921663	14737169	15957378	15771359
C00178	53934643	195397554	191397992	237492060	222786123	54237954	268785150	259186528	207193346	225146072	152614044	283570119	267618712	282521075	66940786	53421156	57035072	54026080	51411112	53581293	285428956	243412784	260994542	212409704	61184845	326938214	200823721	292953991	334953309	329856499
C00385	5519327	3137223	9476071	9600058	10603402	36584651	34833984	34991120	34728149	34687816	25309454	26410085	25107668	27287986	26732127	104135075	97911333	97352837	102953235	97559883	61627234	60758247	60955746	61336638	60612488	69220539	69866283	68379158	67787413	68670535
C00242	556402470	575254825	543177763	571474160	530733533	1182067298	1133184538	1160382700	1177996820	1171704647	869873142	889573370	912017880	890725791	892294439	683950382	677444458	703598815	659719804	676239657	1341454656	1350196673	1425927474	1430671710	1400088603	258455472	250522643	266579339	266457063	251053539
C00147	13864733	12481535	13011944	13577218	12694383	8383158	14411821	10252885	8920040	9004576	17055420	14273763	14815536	15638399	15381575	4177215	4694721	4722948	4843662	5178895	14551583	13116260	13428281	14377706	12106406	513216	826939	483209	586702	561401
C21028	126886244	28311251	30414596	163363058	116862577	120168155	126549668	34944444	131311537	182685182	32620063	118264434	267310975	29692340	123539054	118605602	108160165	26995995	29576883	26938162	148034138	99607674	98147878	26533236	21498797	23827509	142842111	111306754	21388450	103436565
C00330	3927185	3902239	4818846	4224194	4929412	15225354	14595969	14110723	14358880	13810496	6475683	6477105	6966088	5680087	6377437	4302937	3640259	4578435	3614568	3725572	19277296	18265743	14850369	15675532	19068323	85995	206083	77611	114105	2763446
C00387	645611598	688674281	670047053	661335363	661324783	1494793661	1373367127	1208901973	1446548956	1539269453	990072909	1169367564	1195067498	1241693554	1176734832	801279044	910412465	893051901	895743150	896913196	1688867181	1695570898	1820478837	1842369974	1766238180	322083416	343486532	340285674	348594545	336692040
C00212	138116623	150480657	148251898	139829871	132109417	59501132	54026404	57364676	54790733	51741903	177830091	190010166	194667194	174550063	183225928	176008649	174584815	175975066	172994643	171394719	121003542	123703374	120854066	123722186	120816551	82912827	83562887	83775807	87036904	84032217
C02494	7230301	29162856	7434561	30277599	27975520	10016911	29945313	33952692	9366647	31628814	35174791	30147610	32361069	38161660	27572266	21004258	7088257	6717603	23410743	6576970	9133055	32694077	32762863	32292373	26684298	18576103	23313357	5887531	24481069	6035193
C00294	371782824	306395409	365180229	384641292	321600945	289731809	326977292	319823497	305937197	291367673	397913891	406626989	402942506	395856337	345901681	278072658	259300083	183390716	229479136	229646991	402911607	419770108	427697180	395760810	425223228	151048783	166678800	171943464	176791545	173948051
C01762	2545043	6250774	5237209	2208932	5634221	6481652	24389956	7673910	18127501	8467133	11927216	4923278	12460802	12258294	4659809	57790333	23183718	54446558	27689317	61308069	13764166	28250547	27493012	13395840	28871569	11001700	24132188	11540380	23443427	13191665
C00942	15310547	16071689	16556268	17359179	17725947	16450589	16285716	16604934	17852075	17796827	16828289	18105208	17129417	16379007	17044059	16248097	16799701	16372659	14923570	17081766	17526909	17506137	15785634	16687345	17800335	21759686	20889946	14432452	22504507	20055203
C00299	276804702	218269241	232972868	274763414	265870316	260787483	241166800	234778805	233340415	241918678	159605759	174775056	138973753	127876990	124963591	201943571	202418143	203513441	224308446	224009876	175371849	154661792	141004504	187787333	166295046	117718228	94546006	126998361	93645398	111659998
C00214	15150103	13750791	14281618	13585146	14398128	32281447	29064034	26044465	27182284	35216707	14053190	13158815	15910598	14889252	13157434	12535970	14142368	10598154	13948874	11624483	27208667	28610722	28672507	27187182	24866713	13707208	12709367	12448931	13220723	12282593
C00055	571309031	641566793	594099554	652129716	630830188	959636861	996364654	983201118	927310981	785671543	336585849	303107281	356534182	320395339	301892209	259268133	301291734	253022778	281815971	289765560	902285537	261112387	1029139460	919405636	685995292	172608310	174861282	153364275	152191768	172283487
C00364	1	10400	1	5520	7094	1492032	3562231	1702522	2501188	201688	37806	31853	159173	149190	1	1	1	1	1	1	2450551	3715135	3917976	2095308	3294788	2797	97221	23227	24088	92032
C00105	16013980	18837617	17089027	4466397	16844614	30167716	30858899	30914418	34242186	30028778	9987243	12726829	14170399	10830628	11332859	25310981	24407236	26268842	22398517	25004225	16124352	11832891	14986087	15809988	15764462	806156	1215919	757270	1051254	1017199
C02155	70046663	56635515	57921221	59913594	54530111	129514597	133377313	129641140	126766994	121020965	60974370	76434426	59621289	58559289	73776331	78581071	81742624	81066782	83497730	80112443	96260712	93673695	92733227	112241125	91516173	20378996	20332454	20495232	25720366	22049593
C05282	121175633	178405434	179879553	117090766	121728847	88113377	78479111	76654140	87582085	79723598	46958455	51139411	50732641	53744280	50105813	78011203	82792738	90124685	88440737	87475761	82500898	82297475	86338262	86529823	82415658	60303283	60150201	63477228	68894671	69633073
C05283	26408860	6327048	26019404	27501105	22988933	43323281	46371676	53034901	45487841	12068653	34976683	38160147	9003522	33629218	37767643	28489514	36961640	34344757	37657699	26322537	9038525	8886835	8329945	36197546	8025883	13228272	13833905	14465135	3881371	17379823
