c_number	entry	name	definition
C00120	M00950	Biotin_biosynthesis_BioU_pathway_pimeloyl_ACP_CoA_biotin	K00652;K25570;K01935;K01012
C01909	M00950	Biotin_biosynthesis_BioU_pathway_pimeloyl_ACP_CoA_biotin	K00652;K25570;K01935;K01012
C19845	M00950	Biotin_biosynthesis_BioU_pathway_pimeloyl_ACP_CoA_biotin	K00652;K25570;K01935;K01012
C01063	M00950	Biotin_biosynthesis_BioU_pathway_pimeloyl_ACP_CoA_biotin	K00652;K25570;K01935;K01012
C22388	M00951	Cremeomycin_biosynthesis_aspartate_3_4_AHBA_cremeomycin	K25562;K25597;K25563;K25594;K25598
C00088	M00951	Cremeomycin_biosynthesis_aspartate_3_4_AHBA_cremeomycin	K25562;K25597;K25563;K25594;K25598
C00049	M00951	Cremeomycin_biosynthesis_aspartate_3_4_AHBA_cremeomycin	K25562;K25597;K25563;K25594;K25598
C12115	M00951	Cremeomycin_biosynthesis_aspartate_3_4_AHBA_cremeomycin	K25562;K25597;K25563;K25594;K25598
C22416	M00951	Cremeomycin_biosynthesis_aspartate_3_4_AHBA_cremeomycin	K25562;K25597;K25563;K25594;K25598
C22425	M00951	Cremeomycin_biosynthesis_aspartate_3_4_AHBA_cremeomycin	K25562;K25597;K25563;K25594;K25598
C22455	M00951	Cremeomycin_biosynthesis_aspartate_3_4_AHBA_cremeomycin	K25562;K25597;K25563;K25594;K25598
C15769	M00952	Benzoxazinoid_biosynthesis_indoleglycerol_phosphate_DIMBOA_glucoside	K13222;K13223;K13224;K13225;K13226;K13227;K13229;K13230
C04831	M00952	Benzoxazinoid_biosynthesis_indoleglycerol_phosphate_DIMBOA_glucoside	K13222;K13223;K13224;K13225;K13226;K13227;K13229;K13230
C15770	M00952	Benzoxazinoid_biosynthesis_indoleglycerol_phosphate_DIMBOA_glucoside	K13222;K13223;K13224;K13225;K13226;K13227;K13229;K13230
C18062	M00952	Benzoxazinoid_biosynthesis_indoleglycerol_phosphate_DIMBOA_glucoside	K13222;K13223;K13224;K13225;K13226;K13227;K13229;K13230
C11130	M00952	Benzoxazinoid_biosynthesis_indoleglycerol_phosphate_DIMBOA_glucoside	K13222;K13223;K13224;K13225;K13226;K13227;K13229;K13230
C15772	M00952	Benzoxazinoid_biosynthesis_indoleglycerol_phosphate_DIMBOA_glucoside	K13222;K13223;K13224;K13225;K13226;K13227;K13229;K13230
C03506	M00952	Benzoxazinoid_biosynthesis_indoleglycerol_phosphate_DIMBOA_glucoside	K13222;K13223;K13224;K13225;K13226;K13227;K13229;K13230
C12312	M00952	Benzoxazinoid_biosynthesis_indoleglycerol_phosphate_DIMBOA_glucoside	K13222;K13223;K13224;K13225;K13226;K13227;K13229;K13230
C00463	M00952	Benzoxazinoid_biosynthesis_indoleglycerol_phosphate_DIMBOA_glucoside	K13222;K13223;K13224;K13225;K13226;K13227;K13229;K13230
C00073	M00953	Mugineic_acid_biosynthesis_methionine_3_epihydroxymugineic_acid	K00789;K05953;K14271;K22374;K18054
C15500	M00953	Mugineic_acid_biosynthesis_methionine_3_epihydroxymugineic_acid	K00789;K05953;K14271;K22374;K18054
C15485	M00953	Mugineic_acid_biosynthesis_methionine_3_epihydroxymugineic_acid	K00789;K05953;K14271;K22374;K18054
C15501	M00953	Mugineic_acid_biosynthesis_methionine_3_epihydroxymugineic_acid	K00789;K05953;K14271;K22374;K18054
C15486	M00953	Mugineic_acid_biosynthesis_methionine_3_epihydroxymugineic_acid	K00789;K05953;K14271;K22374;K18054
C15502	M00953	Mugineic_acid_biosynthesis_methionine_3_epihydroxymugineic_acid	K00789;K05953;K14271;K22374;K18054
C05324	M00953	Mugineic_acid_biosynthesis_methionine_3_epihydroxymugineic_acid	K00789;K05953;K14271;K22374;K18054
C00019	M00953	Mugineic_acid_biosynthesis_methionine_3_epihydroxymugineic_acid	K00789;K05953;K14271;K22374;K18054
C01672	M00956	Lysine_degradation_bacteria_L_lysine_succinate	K01582;K09251;K00137;K07250;K00135;K15737;K15736
C00026	M00956	Lysine_degradation_bacteria_L_lysine_succinate	K01582;K09251;K00137;K07250;K00135;K15737;K15736
C00047	M00956	Lysine_degradation_bacteria_L_lysine_succinate	K01582;K09251;K00137;K07250;K00135;K15737;K15736
C03273	M00956	Lysine_degradation_bacteria_L_lysine_succinate	K01582;K09251;K00137;K07250;K00135;K15737;K15736
C03196	M00956	Lysine_degradation_bacteria_L_lysine_succinate	K01582;K09251;K00137;K07250;K00135;K15737;K15736
C00489	M00956	Lysine_degradation_bacteria_L_lysine_succinate	K01582;K09251;K00137;K07250;K00135;K15737;K15736
C12455	M00956	Lysine_degradation_bacteria_L_lysine_succinate	K01582;K09251;K00137;K07250;K00135;K15737;K15736
C00431	M00956	Lysine_degradation_bacteria_L_lysine_succinate	K01582;K09251;K00137;K07250;K00135;K15737;K15736
C00042	M00956	Lysine_degradation_bacteria_L_lysine_succinate	K01582;K09251;K00137;K07250;K00135;K15737;K15736
